REC_TIME,ID,POINT_ID,AVGACURATE,LIGHTVEH,AVGSPEED,LONGVEH,HUGEVEH,MIDVEH,AVGHEADDIST,MINIVEH,AVGFLOW
2023/6/25 0:00,23870,1001,1.00E-01,0,2.29E+01,0,0,0,0,3,3
2023/6/24 0:00,23869,1001,1.00E-01,0,1.76E+01,0,0,3,0,15,18
2023/6/23 0:00,23868,1001,1.00E-01,0,4.32E+01,0,0,1,0,32,33
2023/6/22 0:00,23867,1001,1.00E-01,0,5.70E+01,0,0,0,0,22,22
2023/6/21 0:00,23866,1001,1.00E-01,0,5.32E+01,0,0,0,0,18,18
2023/6/20 0:00,23865,1001,1.00E-01,0,3.18E+01,1,0,1,0,13,15
2023/6/19 0:00,23864,1001,1.00E-01,0,3.50E+01,0,0,0,0,8,8
2023/6/18 0:00,23863,1001,5.00E-01,0,4.18E+01,6,0,21,0,248,275
2023/6/17 0:00,23862,1001,8.00E-01,0,6.12E+01,9,0,12,0,151,172
2023/6/16 0:00,23861,1001,1.00E+00,0,8.06E+01,14,0,29,0,420,463
2023/6/15 0:00,23860,1001,8.00E-01,0,4.28E+01,15,0,36,0,335,386
2023/6/14 0:00,23859,1001,3.00E-01,0,3.65E+01,2,0,5,0,103,110
2023/6/13 0:00,23858,1001,2.00E-01,0,4.06E+01,0,0,1,0,35,36
2023/6/12 0:00,23857,1001,3.00E-01,0,4.12E+01,0,0,0,0,45,45
2023/6/11 0:00,23856,1001,2.00E-01,0,2.77E+01,0,0,0,0,25,25
2023/6/10 0:00,23855,1001,3.00E-01,0,4.52E+01,1,0,11,0,65,77
2023/6/9 0:00,23854,1001,4.00E-01,0,5.66E+01,0,0,12,0,95,107
2023/6/8 0:00,23853,1001,4.00E-01,0,4.90E+01,2,0,6,0,78,86
2023/6/7 0:00,23852,1001,2.00E-01,0,4.08E+01,0,0,6,0,38,44
2023/6/6 0:00,23851,1001,5.00E-01,0,7.02E+01,5,0,13,0,90,108
2023/6/5 0:00,23850,1001,5.00E-01,0,8.95E+01,1,0,6,0,118,125
2023/6/4 0:00,23849,1001,5.00E-01,0,8.45E+01,5,0,16,0,207,228
2023/6/3 0:00,23848,1001,8.00E-01,0,8.26E+01,7,0,14,0,253,274
2023/6/2 0:00,23847,1001,6.00E-01,0,9.01E+01,1,0,6,0,258,265
2023/6/1 0:00,23846,1001,7.00E-01,0,6.26E+01,9,0,30,0,314,353
2023/5/31 0:00,23845,1001,6.00E-01,0,5.77E+01,7,0,12,0,347,366
2023/5/30 0:00,23844,1001,7.00E-01,0,6.98E+01,7,0,23,0,506,536
2023/5/29 0:00,23843,1001,1.00E+00,0,6.64E+01,8,0,49,0,645,702
2023/5/28 0:00,23842,1001,1.00E+00,0,7.16E+01,6,0,22,0,471,499
2023/5/27 0:00,23841,1001,9.00E-01,0,8.48E+01,7,0,21,0,450,478
2023/5/26 0:00,23840,1001,1.00E+00,0,8.59E+01,8,0,28,0,584,620
2023/5/25 0:00,23839,1001,6.00E-01,0,7.04E+01,6,0,24,0,344,374
2023/5/24 0:00,23838,1001,8.00E-01,0,8.36E+01,4,0,13,0,298,315
2023/5/23 0:00,23837,1001,9.00E-01,0,8.91E+01,7,0,34,0,567,608
